"","Date","Entity","Code","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"179",2020-04-05,"Albania","ALB",19,333,2877800,6.6022656195705e-06,0.000115713392174578,0.0570570570570571
"180",2020-04-25,"Albania","ALB",27,678,2877800,9.38216693307388e-06,0.000235596636319411,0.0398230088495575
"181",2020-04-03,"Albania","ALB",16,277,2877800,5.55980262700674e-06,9.62540829800542e-05,0.0577617328519856
"182",2020-03-15,"Albania","ALB",1,38,2877800,3.47487664187921e-07,1.3204531239141e-05,0.0263157894736842
"183",2020-03-30,"Albania","ALB",10,212,2877800,3.47487664187921e-06,7.36673848078393e-05,0.0471698113207547
"184",2020-04-13,"Albania","ALB",23,446,2877800,7.99221627632219e-06,0.000154979498227813,0.0515695067264574
"185",2020-04-15,"Albania","ALB",24,475,2877800,8.33970394051011e-06,0.000165056640489263,0.0505263157894737
"186",2020-04-26,"Albania","ALB",27,712,2877800,9.38216693307388e-06,0.0002474112169018,0.0379213483146067
"187",2020-04-14,"Albania","ALB",23,467,2877800,7.99221627632219e-06,0.000162276739175759,0.0492505353319058
"188",2020-05-06,"Albania","ALB",31,820,2877800,1.07721175898256e-05,0.000284939884634095,0.0378048780487805
"189",2020-03-31,"Albania","ALB",12,223,2877800,4.16985197025506e-06,7.74897491139065e-05,0.0538116591928251
"190",2020-05-01,"Albania","ALB",31,773,2877800,1.07721175898256e-05,0.000268607964417263,0.0401034928848642
"191",2020-04-04,"Albania","ALB",17,304,2877800,5.90729029119466e-06,0.000105636249913128,0.0559210526315789
"192",2020-04-07,"Albania","ALB",22,377,2877800,7.64472861213427e-06,0.000131002849398846,0.0583554376657825
"193",2020-04-01,"Albania","ALB",15,243,2877800,5.21231496281882e-06,8.44395023976649e-05,0.0617283950617284
"194",2020-05-04,"Albania","ALB",31,795,2877800,1.07721175898256e-05,0.000276252693029397,0.0389937106918239
"195",2020-04-23,"Albania","ALB",27,634,2877800,9.38216693307388e-06,0.000220307179095142,0.0425867507886435
"196",2020-03-11,"Albania","ALB",NA,10,2877800,NA,3.47487664187921e-06,NA
"197",2020-03-09,"Albania","ALB",NA,2,2877800,NA,6.94975328375843e-07,NA
"198",2020-04-02,"Albania","ALB",15,259,2877800,5.21231496281882e-06,8.99993050246716e-05,0.0579150579150579
"199",2020-03-27,"Albania","ALB",6,174,2877800,2.08492598512753e-06,6.04628535686983e-05,0.0344827586206897
"200",2020-05-05,"Albania","ALB",31,803,2877800,1.07721175898256e-05,0.000279032594342901,0.0386052303860523
"201",2020-04-10,"Albania","ALB",23,409,2877800,7.99221627632219e-06,0.00014212245465286,0.0562347188264059
"202",2020-03-10,"Albania","ALB",NA,6,2877800,NA,2.08492598512753e-06,NA
"203",2020-04-12,"Albania","ALB",23,433,2877800,7.99221627632219e-06,0.00015046215859337,0.0531177829099307
"204",2020-03-12,"Albania","ALB",1,11,2877800,3.47487664187921e-07,3.82236430606713e-06,0.0909090909090909
"205",2020-04-11,"Albania","ALB",23,416,2877800,7.99221627632219e-06,0.000144554868302175,0.0552884615384615
"206",2020-04-09,"Albania","ALB",22,400,2877800,7.64472861213427e-06,0.000138995065675169,0.055
"207",2020-05-08,"Albania","ALB",31,842,2877800,1.07721175898256e-05,0.00029258461324623,0.0368171021377672
"208",2020-04-08,"Albania","ALB",22,383,2877800,7.64472861213427e-06,0.000133087775383974,0.0574412532637076
"209",2020-05-03,"Albania","ALB",31,789,2877800,1.07721175898256e-05,0.00027416776704427,0.0392902408111534
"210",2020-05-08,"Algeria","DZA",483,5182,43851043,1.10145612728071e-05,0.000118172787817156,0.0932072558857584
"211",2020-05-04,"Algeria","DZA",463,4474,43851043,1.05584717791091e-05,0.000102027219740247,0.103486812695574
"212",2020-05-07,"Algeria","DZA",476,4997,43851043,1.08549299500128e-05,0.00011395396000045,0.0952571542925755
"213",2020-04-12,"Algeria","DZA",275,1825,43851043,6.27123053834774e-06,4.16181662999441e-05,0.150684931506849
"214",2020-05-02,"Algeria","DZA",453,4154,43851043,1.03304270322601e-05,9.47297878410783e-05,0.109051516610496
"215",2020-03-24,"Algeria","DZA",17,230,43851043,3.87676069643315e-07,5.2450291775272e-06,0.0739130434782609
"216",2020-05-03,"Algeria","DZA",459,4295,43851043,1.04672538803695e-05,9.79452187716493e-05,0.106868451688009
"217",2020-03-22,"Algeria","DZA",15,139,43851043,3.42067120273513e-07,3.16982198120122e-06,0.107913669064748
"218",2020-03-29,"Algeria","DZA",29,454,43851043,6.61329765862126e-07,1.0353231506945e-05,0.0638766519823789
"219",2020-03-26,"Algeria","DZA",21,302,43851043,4.78893968382919e-07,6.88695135484007e-06,0.0695364238410596
"220",2020-05-05,"Algeria","DZA",465,4648,43851043,1.06040807284789e-05,0.000105995198335419,0.100043029259897
"221",2020-05-06,"Algeria","DZA",470,4838,43851043,1.07181031019034e-05,0.00011032804852555,0.097147581645308
"222",2020-04-07,"Algeria","DZA",173,1423,43851043,3.94517412048785e-06,3.2450767476614e-05,0.121574139142656
"223",2020-04-11,"Algeria","DZA",256,1761,43851043,5.83794551933463e-06,4.01586799201105e-05,0.145371947756956
"224",2020-04-28,"Algeria","DZA",432,3517,43851043,9.85153306387718e-06,8.02033374667964e-05,0.122831959056014
"225",2020-03-21,"Algeria","DZA",10,102,43851043,2.28044746849009e-07,2.32605641785989e-06,0.0980392156862745
"226",2020-03-28,"Algeria","DZA",26,409,43851043,5.92916341807423e-07,9.32703014612446e-06,0.0635696821515892
"227",2020-03-23,"Algeria","DZA",17,201,43851043,3.87676069643315e-07,4.58369941166508e-06,0.0845771144278607
"228",2020-04-09,"Algeria","DZA",205,1572,43851043,4.67491731040468e-06,3.58486342046642e-05,0.130407124681934
"229",2020-03-27,"Algeria","DZA",25,367,43851043,5.70111867122522e-07,8.36924220935862e-06,0.0681198910081744
